title,label
China's Space Threat: How Missiles Could Target U.S. Satellites,real
Job Openings and Labor Turnover Survey News Release,real
"'This Week' Transcript: Goolsbee, Brown & Corker",real
Analysis of the 2008 Presidential Candidates’ Tax Plans,real
"U.S. considers 3,000 more troops for Afghanistan",real
"3rd Democratic debate transcript, annotated: Who said what and what it meant",real
"Joni Ernst ""Promises"" Ad",real
Testimony on the Alternative Minimum Tax,real
Obama Criticizes McCain on Lobbyists,real
SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters,real
Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,real
'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,real
There’s another choice – Gov. Gary Johnson – Medium,real
Florida Democrats Ask HHS to Protect Floridians from High Insurance Premiums in Marketplace,real
Giuliani in New Hampshire,real
Sale of the Etch A Sketch Brand,real
"Transcript of second McCain, Obama debate",real
"Romney For President Launches New Television Ad, ""Remember""",real
Mike Gravel 2008,real
letter filed on behalf of Sen Barack Obama and the Obama Exploratory Committee,real
School kids taught to praise Obama,real
Reps Cummings and Cole Interviewed on MSNBC,real
Local News Headlines Hawaii,real
Michael Bennet for US Senate,real
U.S. Senator Rand Paul of Kentucky,real
H.R.6060 - 109th Congress (2005-2006): Department of State Authorities Act of 2006,real
spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,real
Transcripts,real
"Care Without Coverage: Too Little, Too Late",real
Rep Mike Pence Web site,real
the Border Security Economic Opportunity and Immigration Modernization Act as passed by the Senate,real
White and Blue Fund ad,real
Pledge of Allegiance E-mail,real
McCain spoke up early,real
"Ad says Obama apologized, showed weakness on Iran",real
Hillary Clinton Remarks at National Urban League Conference,real
Friend of Israel also woos Palestinians Visiting Obama focuses on Israels right to defend itself,real
Transcripts,real
"Saudi Arabia Energy Data, Statistics and Analysis",real
U.S. Solar Market Insight Report,real
FrontPage Magazine,real
Obama: Gitmo inspires jihadists,real
RAW DATA: Dick Cheney's Remarks to the Center for Security Policy,real
Critical Mention,real
Monthly Treasury Statement of Receipts and Outlays of the United States Government,real
Remarks of Senator Barack Obama An Agenda for MiddleClass Success,real
Is The End In Sight For Supermax?,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Tim Kaine's Speech in Spanish at an Arizona Rally: Read Now,real
Trump's Tough Talk on Hedge-Fund Taxes Doesn't Match His Plan,real
Crime in Chicago: Explore your community,real
John McCain for President,real
Des Moines Register,real
New York Election Results November 7,real
Sanders Supports Gun Safety Bill,real
"""On and On""",real
Sasse Statement on Trade War,real
Monthly Budget Review,real
'This Week' Transcript: Hillary Clinton,real
Centers for Disease Control and Prevention,real
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",real
"NRA President David Keene Rejects White House Gun Control Approach | PBS NewsHour | Jan. 15, 2013",real
Let’s Not Be Civil,real
Average cable TV bill cited in article on industry study,real
U.S. Department of Education Budget History,real
LexisNexis(R) Publisher,real
Transcript: Bob Barr on 'FOX News Sunday',real
"The first Trump-Clinton presidential debate transcript, annotated",real
Border Security The Role of the US Border Patrol,real
Pelosi urges minimum-wage hike,real
Clinton's Lead Over Trump Shrinks to 3 Points: New NBC News/WSJ Poll,real
FindArticles.com,real
All Nobel Peace Prizes,real
U.S. Senator John McCain,real
H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,real
Hillary Clinton Transcript: Read Full Text of Clinton Campaign Launch,real
John Hagee discusses Catholic Church,real
“Put Palin’s WolfKilling Record on Television”,real
Transcripts,real
"The Hill: Op-Ed: Go natural, go nuclear",real
Amendment to to declare English as the national language of the Government of the United States,real
Declining Business Dynamism in the United States A Look at States and Metros,real
Nexis®: Sign In,real
Rep. Vern Buchanan on Twitter,real
Transcripts,real
Ivanka Trump: Father feels 'vindicated' after Comey hearing,real
"McCain touts 'Gang of 14,' immigration reform",real
Planned Parenthood® Action Center,real
CPD: 2008 Debate Transcript,real
More Czars Than the Romanovs,real
"Impact of Senator Obama's Tax Proposals as Described by Economic Advisors on Workers, Distribution of Federal Tax Change by Cash Income Percentile, 2009",real
"He says universal, but it's no guarantee",real
Obama addresses key concerns for Floridians,real
Chairmans Mark Americas Healthy Future Act of 2009,real
Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,real
'This Week' Transcript: Adm. Mike Mullen,real
Obama Demands Investigation into Subprime Loan Discrimination,real
LexisNexis(R) Publisher,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Hillary Clinton Transcript: Building the ‘Growth and Fairness Economy’,real
Topic A: How Can President Obama Regain His Political Footing?,real
AUTOS: The Dinosaur Hunter,real
3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Forget Kiev. The Real Fight Will Be for Crimea,real
2008 Presidential Election,real
Public financial disclosure report,real
McCain Campaigns In Nashville,real
H1N1 vaccinations to be offered to Guantanamo Bay detainees,real
Inquiry Sought in Hillary Clinton’s Use of Email,real
"CNN's Don Lemon: Bill O'Reilly's Criticism Of Black Community ""Doesn't Go Far Enough""",real
FY 2010 President's Budget,real
"""Give Me a Break"" Americans Against Food Taxes TV Ad 2011",real
Barack Obama on Twitter,real
Text - H.R.2122 - 106th Congress (1999-2000): Mandatory Gun Show Background Check Act,real
Noted and Quoted,real
The Associated Press: Obama Hits Clinton on NAFTA Support,real
"Democratic debate: Bernie Sanders really isn't as ""socialist"" as President Eisenhower",real
"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",real
"Oct. 11: Levin, Graham, McCaffrey, Myers, roundtable",real
US Foreign Economic and Military Aid by Major Recipient Country The New York Times,real
2011 Text of President Barack Obama’s proposed jobs bill Email interview with Lynne Bernabei,real
Republican consultant says Barack Obama promised to halve federal deficit in his first term,real
2011 Urban InstituteBrookings Institution Tax Policy Center,real
"DNC TV AD: ""Trapped""",real
Fox News Sunday,real
Remarks by the President in Twitter Town Hall,real
Press release AIG Discloses Counterparties to CDS GIA and Securities Lending Transactions,real
2011 via CQ subscribers only Tax Foundation,real
Barack Obama’s Remarks in St. Paul,real
The Fact Hub,real
"Key Facts: Race, Ethnicity and Medical Care",real
"Senator Biden’s Remarks in Springfield, Ill.",real
Rockefeller: An Opportunity We Cant Pass Up,real
"Call 'Islamic terrorism' what it is: a threat to West, Jeb Bush says",real
Obama administration opens the door for states to seek major changes in welfaretowork law,real
Remarks by the President at CNBC Town Hall Discussion on Jobs,real
Q&A: Did slaves build the White House?,real
"Health Reform Carries Heavy Price, Insurers Claim",real
Obama’s Remarks at the White House Health Care Forum,real
"Remarks by the President at Campaign Event -- Colorado Springs, CO",real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
"If Democrats Lose, Blame These Guys",real
"McCAIN, John Sidney, III",real
REMARKS BY THE PRESIDENT AND FIRST LADY AT A CAMPAIGN EVENT,real
"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",real
Rep Poe Interviewed on Fox Business Network,real
Senate Democrats news conference on the Senate Climate Action Task Force,real
'This Week' Transcript: Kaine and Steele,real
RACE FOR CITY HALL: The Republican Candidate; A Mercurial Mayor's Confident Journey,real
Encounters With 'Regular Guy' Fred Thompson -- New York Magazine,real
US Trade in Goods,real
Remarks by the President on Responsible Homeownership,real
"Washington Post: Breaking News, World, US, DC News & Analysis",real
interview with Bloomberg television,real
Obamacare vs. the Catholic bishops,real
FDIC: FIL-14-2005: Revised Examination Guidance,real
Justices 1789 to Present,real
A Preliminary Analysis of the President’s Budget and an Update of CBO’s Budget and Economic Outlook,real
"S.1591 - 104th Congress (1995-1996): A bill to prohibit campaign expenditures for services of lobbyists, and for other purposes.",real
Teamsters Tout ANWR on Capitol Hill,real
Senate Passes Obama-Hagel Provision Aimed at Preventing Nuclear Terrorism,real
Transcript: House Majority Leader Boehner on 'FNS',real
John McCain for President,real
"Background Briefing on GM Restructuring, May 31, 2009",real
Georgia crisis triggers war of words on White House trail,real
Social Security Trustees Report 2007,real
U.S. Senator Debbie Stabenow of Michigan,real
Hillary Clinton Sits Down With Bill OReilly,real
The Committee on Energy and Commerce,real
Writers May Have Pact. Huckabee Crosses Picket Line—Again,real
"Latest World News, Videos & Photos -ABC News - ABC News",real
Economy Protect Homeownership and Crack Down on Mortgage Fraud,real
Congressman Pence Discusses House Republican Energy Bill on MSNBC's Morning Joe,real
"Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target",real
Transcript: Vice Presidential Debate,real
comments at the CNN Republican presidential debate in Las Vegas,real
"Palin: Pioneer, maverick -- and now game-changer",real
Why the Public Option Isn't the Only Answer to Health-Care Reform,real
One in Four – Congressman Joe Pitts – Medium,real
Congressman Allen West : Final Weekly Wrapup,real
United States Senator Jim DeMint,real
Rebooting: You and your doctor under Obamacare,real
Card Penalty Fees Soften Slightly In 2010,real
Assistant professor of economics at the Gatton College of Business and Economics at University of Kentucky,real
"President Trump Campaigns Rick Saccone Pennsylvania, Mar 10 2018",real
Daily Fuel Gauge Report Aug 1,real
Public Citizen,real
WATCH FULL Ted Cruz presser on new deal with Kasich (UPDATE: PART TWO ADDED),real
Protecting Our Children from the Dangers of Smoking,real
Part 1 of CNN Democratic presidential debate,real
"9/11 families, others rally in favor of NYC mosque",real
Resource Not Available,real
"McCain, Obama go head to head in last debate",real
Take action,real
Transcripts,real
'This Week' Transcript: Gen. Jim Jones (Ret.),real
Renewing Americas Promise,real
"Earmark reform? 2009 spending bill contains 9,000 of them",real
Dean Ralph Reed Fundraiser Reveals McCain Double Talk on Ethics,real
"Leonard Lance claims federal tax code contains 4 million words, is 7 times as long as Bible",real
Public Campaign Action Fund,real
TSA: Frequently Asked Questions,real
Rep Jan Schakowsky on MSNBC,real
Donald J. Trump on the Stakes of the Election,real
MoveOn.org Political Action: 10 things to know about McCain,real
United States Department of Defense,real
MoveOn.org Political Action: General Petraeus or General Betray Us?,real
MoveOn.org Political Action: 10 things to know about McCain,real
The CNN Democratic presidential debate in Texas,real
"New York Officials Welcome Immigrants, Legal or Illegal",real
A Senate in the Gun Lobby’s Grip,real
public information officer for Palm Beach County Property Appraisers Office,real
Estonia Might Have The Most Efficient Tax Filing System In The World,real
Remarks by the President on the Resurgence of the American Auto Industry,real
"PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress",real
当ブログでは福岡県内にある不動産会社についてさまざまな情報をまとめています。福岡市の分譲マンションやマンション経営で頼りになる企業をご紹介！,real
Text of H.R. 3338 (107th): Department of Defense and Emergency Supplemental Appropriations for Recovery from and Response to ... (Passed Congress version),real
Mourning in America,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
The Democratic Debate in Cleveland,real
Interest Group Ratings,real
First Presidential Debate,real
Town Hall Meeting in Derry NH,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
John McCain,real
McCain-Palin 2008,real
Political TV Ad Archive » PolAd,real
Public Views on Health Care Overhaul Top Week's News,real
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",real
Democratic National Convention Committee,real
"Rick Santorum: By amending constitution, we can balance the budget for good",real
Social Security Online History Pages,real
Notice: Data not available: U.S. Bureau of Labor Statistics,real
Clinton campaign’s claim that Trump would ‘force schools to allow guns in classrooms’,real
Obama: Mitt Romney refused to say whether he supports Lilly Ledbetter Act,real
foreign policy speech,real
Justice Department Memos on Interrogation Techniques,real
PolitiFact’s annotated transcript of the second presidential debate,real
Debbie Wasserman Schultz on Twitter,real
Remarks by President Trump in a Listening Session on Healthcare,real
Romney campaign ad,real
What Carly is doing tonight – Carly Fiorina – Medium,real
Children - Obama for America TV Ad,real
2007 Kaiser/HRET Employer Health Benefits Survey,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",real
Rule by Rentiers,real
2011 Urban Institute and the Blue Cross Blue Shield of Massachusetts Foundation,real
Donald Trump featured in new jihadist recruitment video,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
interview on Fox News,real
Has the potency of pot changed since President Obama was in high school?,real
Change We Can Believe In,real
Peanut Product Recall Took Company Approval,real
Action for 25th Legislature,real
Democratic National Convention Committee,real
Iraq pullout could create chaos,real
In Obama's Words,real
"For Education Secretary, Stimulus Means Dollars and Risk",real
VIDEO: Special Preview Of Jersey Shore In Miami!,real
Obama Promises Abortion in Public Plan,real
Popular baby names,real
Top Presidential Candidate 2008 Websites,real
speech in Cincinnati,real
Louise Slaughter on Twitter,real
Laws Affecting Reproductive Health and Rights: 2013 State Policy Review,real
Fox News Sunday,real
International Energy Statistics,real
Donald Trump Sets Conditions for Defending NATO Allies Against Attack,real
The State of Working America 20067 pdf,real
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",real
Trump on Prejean: Same as Obama,real
"Donald Trump, Billy Bush: Interview Scrambles Race",real
Transcript: Interview with Donald Trump,real
Rep. Michael McCaul (R-TX) Appears on Face the Nation,real
Energy and Commerce Committee,real
Meet Barack Obama,real
Redirect Notice,real
"Carolyn B. Maloney on Twitter: ""Women's health & wellbeing don’t seem to count in the math of the GOP's merciless #PayMoreForLess healthcare bill. We must not defund @PPFA!… https:",real
Fiscal Year 2011 Email interview with Todd Harrison of the Center for Strategic and Budgetary Assessments,real
"Shields and Gerson on Cabinet Noms, Gun Laws, Boehner's Leadership | PBS NewsHour | Dec. 21, 2012",real
U.S. Senate: U.S. Senate Roll Call Votes 103rd Congress,real
CQ Vote Studies,real
CPAC 2013 - Former Governor Sarah Palin (R-AK),real
"""One Hundred Percent"" by Club for Growth Action",real
Browse Congressional Bills,real
Executive Order Protecting the Nation from Foreign Terrorist Entry into the United States,real
Debbie Wasserman Schultz on Twitter,real
"Senator Charles Schumer NY November Midterm Elections, Nov 25 2014",real
CHIP Enrollment: June 2011 Data Snapshot,real
"Remarks by the President on the Economy -- Knox College, Galesburg, IL",real
Memorial Day,real
'This Week' Transcript: Target Libya,real
Administration Is Seeking $700 Billion for Wall Street,real
Family Policy Alliance,real
HillaryClinton.com,real
"This Labor Day, we need protests",real
Breaking down barriers for African Americans – Hillary for America – Medium,real
WarOnPoverty50,real
Supreme Court Vacancy Video,real
U.S. House Committee on Foreign Affairs,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Remarks by the President on Oil and Gas Subsidies,real
Have You Been to Iraq — 76 Sens Say They Have by Patrick Fitzgerald,real
House GOP Introduces Keep Terrorists Out of America Act,real
Should ISIS' gains lead to more U.S. troops in Iraq?,real
Resource Not Available,real
Individual Income Tax Returns Publication 1304 (Complete Report),real
Transcripts,real
State of the Union 2013,real
Statement by the President,real
Ron Paul Praises Embattled RNC Chief Michael Steele For Leadership On Afghanistan,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Palin tries new tactic to unload hated jet: Gov. Sarah Palin background,real
Barasso Ready to Question Kagan,real
Transcript Briefing by Press Secretary Robert Gibbs,real
Israel should welcome Rouhani's election victory,real
Uniform Crime Reports,real
Political TV Ad Archive » PolAd,real
Keeping His Word: Lowering the Cost of Medicare Prescriptions,real
Rand Paul: Will Donald Trump betray voters by hiring John Bolton?,real
ABC News: ABC News,real
Political Figures: C (2),real
Rep. Ross: We need to get government running again,real
President Barack Obama in Portsmouth Town Hall,real
“Put Palin’s WolfKilling Record on Television”,real
2007 Federal Tax Rate Schedules,real
Web Ad A Tale of Two Mitts,real
McCain in Colorado,real
"Vladimir Putin's Approval Rating Hits All-Time High, Boosted by Syria Airstrikes",real
"Penniless California issues IOUs to firms, clinics, taxpayers and students",real
"As Americans Save Money, their Government Spends with Reckless Abandon",real
Rand Paul: We Must Demilitarize the Police,real
Remarks by the President at the Associated Press Luncheon,real
eCFR — Code of Federal Regulations,real
CQ Transcriptswire > Login,real
Morgan Griffith says EPA treats milk spills same way as oil spills,real
CQ Vote Studies,real
GDP and the Economy Final Estimates for the Third Quarter of 2007,real
Transcript of Wednesday's presidential debate,real
Obama Exclusive Concedes Senate Voteainst Raising Debt Limit Was Political,real
The page you're looking for may have been moved or renamed,real
‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,real
Sen. Barack Obama's answer to meeting energy demands,real
Statement by the President,real
"'This Week' Transcript: Hoyer, Boehner and Bill Gates",real
Arizona Department of Public Safety,real
Sen. Gregg: President Obama's Budget Proposal Is a 'Disaster',real
School Choice FAQ,real
"Data on Campaign Finance, Super PACs, Industries, and Lobbying",real
"Department of Homeland Security Appropriations Act, 2007 (2006; 109th Congress H.R. 5441)",real
Poor and the nearpoor 1959 to 2006,real
Cain said food stamp program use up under Obama,real
Testimony on CBO’s Assessment of the Air Force’s Plan to Acquire 100 Boeing Tanker Aircraft,real
Fox News Sunday,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Illinois General Assembly,real
Health Insurance Coverage in the United States 2015,real
Top Picks (Most Requested Statistics) : U.S. Bureau of Labor Statistics,real
The Republican Road to Recovery,real
Democratic National Convention,real
60 Minutes Transcript,real
Bureau of Labor Statistics Data,real
The Texas Unmiracle,real
Indictment US v Vince McMahon and Titan Sports New Haven Register,real
Barack Obama Challenges John McCain To Duel Over Taxes,real
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,real
LexisNexis(R) Publisher,real
The Des Moines Register,real
The Gingrich Tragedy,real
Obama Criticizes McCain on Lobbyists,real
Cravaack Passes Amendment to Improve US Aviation Security in Opposition to Obamas Planned Disarming of Federal Flight Deck Officers,real
Barack Obama says U.S. oil production last year was highest since 2003,real
TG-162: Treasury Announces $68 Billion in Expected CPP Repayments,real
"Current-Law Distribution of Federal Taxes By Cash Income Percentiles, 2007",real
Part I: CNN/YouTube Democratic presidential debate transcript,real
"Table of Known Nuclear Tests Worldwide, 1945-1996",real
Remarks by the President at GOP House Issues Conference,real
"Hillary Rodham Clinton, Senator for New York: Floor Speech of Senator Hillary Rodham Clinton on S.J. Res. 45, A Resolution to Authorize the Use of United States Armed Forces Against Iraq",real
TPMtv Extra: South Carolina Ronald Reagan Debate,real
a director of research for the foreign policy program at the Brookings Institution,real
Massachusetts Department of Elementary and Secondary Education,real
Expanding Opportunity — #KempForum16 – Paul Ryan – Medium,real
Country of Origin Labeling (COOL),real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Mike Huckabee: Fried Squirrel Out of a Popcorn Popper,real
Transcript of Wednesday's presidential debate,real
"McConnell, Webb, Jindal express uncertainty over Iran nuclear deal",real
"Remarks by the President on Comprehensive Immigration Reform in El Paso, Texas",real
Kerry-McCain: Welcome To Massachusetts!,real
"Obama Urges Bernanke, Paulson to Fight Foreclosures, Hold Homeownership Summit",real
Schneiderman suing Trump over DACA cites 'discriminatory animus',real
Americas 5 Best Governors,real
Situation Syria Regional Refugee Response,real
Transcript of Republican Presidential debate at the Ronald Reagan Library in Simi Valley,real
"Sec. John Kelly on Manchester investigation, keeping America safe",real
John McCain for President,real
alert to members on abortion coverage in the House health care bill,real
Terror Suspects Are Buying Guns - and the FBI Can't Stop Them,real
Organizing for Action,real
"Hannity says Obama won't even use the term ""war on terrorism""",real
a professor of American Studies at Lynn University,real
transcript accessed via Nexis Mitt Romney Sends Taped Message to 2011 NRA Convention,real
An Open Letter to 'All Barack Channel',real
"Obama for America TV Ad: ""Firms""",real
roll call on Stupak amendment,real
Pastors To Protest IRS Rules on Political Advocacy,real
"Mitch McConnell, Alison Lundergan Grimes Have 'Sharp Differences' on Campaign Finance Rules",real
by Mark Halperin,real
"Ryan's plan includes $700 billion in Medicare ""cuts,"" says Stephanie Cutter",real
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,real
Table B46 Employees on nonagricultural payrolls by major industry 19552006,real
Jim DeMint on Twitter,real
"Fed Up! Our Fight to Save America from Washington, by Rick Perry",real
Obama’s Health Care Speech to Congress,real
Press release Rep Barton Democrats stimulus will waste money abuse people and lead to unintended consequences,real
Summing Summertime: Part 4,real
Laura Ingraham wrongly says claim that 90% support for gun background checks has been debunked,real
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",real
Federal Election Commission filing,real
Transcript of debate between Chris Coons and Christine ODonnell,real
Transcripts,real
Barack Obama says Mitt Romney condemned coal-fired power plants as killers,real
The full transcript of the third presidential debate,real
Poverty 2005 Highlights,real
Food Standards and Labeling Policy Book,real
'This Week' Transcript: Geithner,real
Transcripts,real
"Nancy Pelosi, Wicked Witch of the West",real
or Degrading Treatment of Punishment Text of International Covenant on Civil and Political Rights Text of Geneva Convention relative to the Treatment of Prisoners of War Text of Geneva Convention relative to the Protection of Civilian Persons in Time of War Text of Universal Declaration of Human Rights Jay Bybee assistant attorney general,real
Warren Buffett says the super-rich pay lower tax rates than others,real
U.S. Senate: U.S. Senate Roll Call Votes 108th Congress,real
Jeb Bush 2016 Same Resume Right to Rise USA PAC,real
"In Weekly Republican Address, Boehner Calls For “New Way Forward” Focused on Creating Jobs, Cutting Spending, & Reforming Congress",real
U.S. Senate: U.S. Senate Roll Call Votes 111th Congress,real
Harry Reid,real
Video Interview with Howard Dean,real
The Democratic Debate in Cleveland,real
Obama knows his way around a ballot -- chicagotribune.com,real
speech on the floor of the US House of Representatives,real
"Everything you need to know about the drone debate, in one FAQ",real
WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia,real
Web Ad A Tale of Two Mitts,real
Romney CPAC Speech: It's All About the Jobs,real
Patient Protection and Affordable Care Act,real
AFP: McCain renews attacks on Obama links to radical,real
Patient Protection and Affordable Care Act,real
Sarah Palin on Twitter,real
"No Regrets for a Love Of Explosives; In a Memoir of Sorts, a War Protester Talks of Life With the Weathermen",real
"Bill Clinton on Rush Limbaugh, His Mistakes, the Supreme Court and Middle East Peace",real
Rick Santorum sworn in as Pennsylvania’s newest senator,real
"Letter to the Honorable John Boehner providing an estimate for H.R. 6079, the Repeal of Obamacare Act",real
Financial Rescue Nears GDP as Pledges Top 128 Trillion by Mark Pittman and Bob Ivry,real
Transcript: NPR's Full Interview With Sen. Marco Rubio,real
Gore looking to turn idle fans into activists 3year ad campaign will feature enemies united on climate,real
The early catastrophe,real
NPC Luncheon with Eric Holder,real
"""Face the Nation"" transcripts, August 26, 2012: Rubio, Priebus, Barbour, Blackburn",real
2011-2012 Wisconsin Legislature Documents,real
